,Document,Page,Sentence
0,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"No 27289-A Official Digital Gazette Friday May 17, 2013, 1 OFFICIAL GAZETTE DIGITAL "
1,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"of, Panama on Friday May 17, 2013, 27289-A "
2,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"Ministry OF COMMERCE AND INDUSTRIES, / NATIONAL ACCREDITATION, COUNCIL Resolution N `` 024 ( From Friday December 14, 2012 ), FOR WHICH THE INSTALLATIONS OF THE COMPANY IBS PLUS INC, ARE ACCREDITED"
3,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"LOCATED IN PANAMA, DISTRICT OF PANAMA, CORREGIMIENTO DE ANCON"
4,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"National ENERGY SECRETARIAT Resolution N ``, 1440 ( From Wednesday May 15 2013 ), THAT UPDATES THE OPERATING COSTS OF THE TERMINAL AND THE MARKETING MARGIN OF THE TERMINAL IN THE PROCEDURE FOR THE CALCULATION OF THE PRICE OF PARITY OF IMPORTATION OF LIQUID PRODUCTS AND LIQUEFIED PETROLEUM GAS"
5,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"National SECRETARIAT OF SCIENCE, TECHNOLOGY AND INNOVATION, Administrative Resolution No"
6,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1," 33 ( From Wednesday May 8 2013 ), FOR WHICH THE REGULATION OF THE PROGRAM DENOMINATED `` PROGRAM IS APPROVED"
7,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1," Interinstitutional ACADEMIC TALENT, ( TRACK ), ``, "
8,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"National AUTHORITY OF PUBLIC SERVICES, Resolution N `` AN 6060-Elec ( Monday April 8, 2013 ), FOR WHICH THE REMEDY OF RECONSIDERATION IS REJECTED BY THE PROHIBER INTERPOSED BY THE FORENSE FIRM ANZOLA ROBLES & ASSOCIATES IN REPRESENTATION OF THE COMPANY PEDREGAL POWER COMPANY S "
9,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"National AUTHORITY OF PUBLIC SERVICES Resolution N ``, AN 6151-Elec ( From Friday May 17 2013 ), FOR WHICH THE RESOLUTION TO NO IS MODIFIED"
10,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"6136-ELEC OF MAY 7, 2013 AND ITS MODIFICATIONS THAT I ORDER TO THE PUBLIC SECTOR AND COMMERCIAL USERS TO MAINTAIN TURN OFF THE AIR CONDITIONING Systems UNTIL THE NATIONAL AUTHORITY OF THE PUBLIC SERVICES, ( ASEP ) REVALUE THE CURRENT ENERGY SITUATION AND ORDER THE LIFTING OF SUCH MEASURES "
11,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,"National AUTHORITY OF THE PUBLIC SERVICES Resolution N ``, AN 6152-Elec ( From Friday May 17 2013 ), FOR WHICH THE LIFTING OF THE TEMPORARY RESTRICTION OF THE USE OF COMMERCIAL MUMINATION LETTERS OR LIGHT ADVERTISING ADVERTISEMENTS AND LIGHTING DECORATIVE NOCTURNAL ON THE FACADES OF BUILDINGS AND MONUMENTS ESTABLISHED Through RESOLUTIONS TO NO"
12,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,6131-ELEC OF MAY 6 2013 AND AN NO
13,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,1,6144-ELEC OF 13 OF MAY 2013
14,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2,", No 27289-A Official Digital Gazette Friday May 17, 2013, 2 "
15,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2,"Maritime AUTHORITY OF PANAMA, / GENERAL DIRECTORATE OF MERCHANT MARINE Resolution No"
16,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2," 106-74-DGMM ( From Thursday May 9 ( 16 2013 ), FOR WHICH NEW APPLICATIONS ARE EVALUATED IN SPECIAL CASES OF COMPANIES, NATIONAL OR INTERNATIONAL PRIVATE SECURITY OFFICIALS WHO WISH TO BE APPROVED BY THE MARITIME AUTHORITY OF Panama, "
17,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2,"Authority OF TOURISM OF PANAMA Resolution N 052/2013 ( From Wednesday April 17 2013 ), FOR WHICH THE INSCRIPTION OF THE COMPANY MMD-HOTEL S, IS ORDERED"
18,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2," National TOURISM FOR THE CONSTRUCTION OF THE ESTABLISHMENT OF PUBLIC HOSPEDAJE TOURIST DENOMINATED BEST WESTERN PLUS COSMOPOLITAN HOTEL, "
19,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2,Faith OF ERRATA NATIONAL COUNCIL FOR GOVERNMENT INNOVATION TO CORRECT INVOLUNTARY ERROR IN RESOLUTION No
20,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,2,"21 OF MARCH 12, 2013 ISSUED FOR THE (, THE ) NATIONAL COUNCIL FOR GOVERNMENTAL INNOVATION AND PUBLISHED IN THE OFFICIAL GAZETTE No"
21,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3," 27289-A Official Digital Gazette Friday May 17, 2013, 024-2012"
22,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3,"1 A' \, A REPUBLIC OF PANAMA, MINISTRY OF COMMERCE AND INDUSTRIES, NATIONAL ACCREDITATION, COUNCIL RESOLUTION ND 024 of December 14, 2012"
23,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3," The PRESIDENT OF THE ANC in use of their legal faculties, WHEREAS "
24,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3,"That, by means of Title II of Law, 23 of July 15, 1997, the National Council was created of Accreditation as an Accreditation Body authorized by the State That Article I 1 numeral, 6 of Executive Decree No"
25,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3, 55 of July 6
26,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3," 2006 empowers the Plcno of the National Accreditation Council to grant maintain, extend, suspend and cancel the accreditation That the Presidents of the National Accreditation Council is the Vice Minister of Commerce, Interior 6 Industries and the Technical Secretary cs 61, National Director of Industries and Business Development"
27,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3," That on May 20, 201 1, the Technical Secretary of the National Accreditation Council, I received a formal accreditation application"
28,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3," ( is [ BS PLUS INC according to the requirements of the Technical Standard, DGNTl / COPANIT lSO / IEC 170209"
29,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3, I am hereby authorized by the Committee for the Accreditation of the Agency lnspection
30,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3, I recommended not granting the Accreditation as a Inspection Body under the requirements of the DGNTI COPANIT ISO / IEC 17020 2003 standard and make a visit to them follow-up in a period not exceeding six ( 6 ) months
31,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,3,to evaluate the appropriate operation and implementation of its Quality Management System and e ) cicrre of the confonnities detected during the audit That September 11 2012
